"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Quick View","Quick View"
"Add to Wish List","Add to Wish List"
"Password","Mật khẩu"
"Please select a region, state or province.","Tỉnh thành / Quận Huyện"
"information-confirm", "xac-nhan-thong-tin"
"profile", "thong-tin-ca-nhan"
"Welcome to Pernod Ricard Việt Nam","Chào Mừng Đến Pernod Ricard Việt Nam"
"You must be of age 18 or above to access the site Please enter your date of birth", "Bạn phải trên 18 tuổi mới được truy cập vào website, xin vui lòng điền năm sinh của bạn"
"Remember me","Ghi nhớ"
"(Do not check this box if your computer is accessable to a minor person)","Không nên đánh dấu vào nếu máy tính của bạn không riêng tư"
"Submit" ,"Đồng ý"
"Login","Đăng Nhập"
"Products","Sản phẩm"
"Experiences", "Trải nghiệm"
"News","Tin Tức"
"History","Lịch Sử"
"Contact us","Liên Hệ"
"Profile","Thông tin"
"Logout","Thoát"
"Invite Friend","Mời Bạn Bè"
"Invite friend","Mời Bạn Bè"
"Send invitation","Gửi Lời Mời"
"Skip","Bỏ Qua"
"Phone number","Số điện thoại"
"Invitations","Lượt Mời"
"Search","Tìm kiếm"
"Read more","Xem Thêm"
"Recent Products","Sản phẩm mới"
"Home","Trang chủ"
"Product List","Danh sách sản phẩm"
"products","Sản phẩm"
"View detail","Chi tiết"
"Add to cart","Mua hàng"
"Experience","Trải Nghiệm"
"Book now","Đặt hàng"
"View more","Xem thêm"
"Brand Histories","Lịch sử thương hiệu"
"Contact Us","Liên Hệ Chúng Tôi"
"The art of drinking is our playground and we are here to share it.","Nghệ thuật uống rượu là sân chơi của chúng tôi và chúng tôi ở đây để chia sẻ nó."
"Terms & Conditions","Điều khoản sử dụng"
"My order list","Danh sách đơn hàng"
"Your information","Thông tin cá nhân"
"Your email","Email của bạn"
"Your phone","Điện thoại của bạn"
"Your address","Địa chỉ của bạn"
"Address","Địa chỉ"
"Save","Lưu"
"Your information has been updated successfully","Thông tin của bạn được cập nhật thành công"
"Consoulted List","Sản phẩm cần tư vấn"
"Congratualtion ! Your consulted list has been sent for us. We will send you advisory in while","Chúc mừng bạn đã gửi thông tin thành công, chúng tôi sẽ gửi tư vấn đến bạn nhanh nhất có thể."
"The product is added to consulted list.","Sản phẩm đã được thêm vào danh sách tư vấn."
"List consultant is sent","Danh sách tư vấn đã được gửi đi"
"Booked Success","Đặt chổ thành công"
"Consultant Success","Chọn tư vấn thành công"
"Information Confirm","Xác nhận thông tin"
"Products need to get consulted","Sản phẩm cần tư vấn"
"Full name","Họ Tên"
"Message *","Nội dung tin nhắn *"
"Send","Gửi"

"Pernod Ricard has built a unique Premium brand portfolio with international reach. This portfolio, governed by our House of Brands concept, is today one of the most comprehensive on the market, covering every category of wines and spirits. It is organised around four moments of convivialité, designed to offer “the right product at the right time for the right consumer”, regardless of that consumer’s market.","Pernod Ricard đã xây dựng một danh mục thương hiệu Premium độc đáo với tầm quốc tế. Danh mục đầu tư này, được điều chỉnh bởi khái niệm House of Brand của chúng tôi, ngày nay là một trong những sản phẩm toàn diện nhất trên thị trường, bao gồm tất cả các loại rượu vang và rượu mạnh. Nó được tổ chức vào khoảng bốn thời điểm hấp dẫn, được thiết kế để cung cấp cho đúng sản phẩm vào đúng thời điểm dành cho người tiêu dùng phù hợp, bất kể thị trường tiêu dùng đó là gì."

"Discover the fascinating stories behind each unique brand</br>that makes up the Pernod Ricard family.","Khám phá những câu chuyện hấp dẫn</br> đằng sau mỗi thương hiệu độc đáo tạo nên gia đình Pernod Ricard."

"With the most comprehensive portfolio in the industry, management and resource allocation continue to be a critical challenge. Our goal is to allocate properly the resources within our portfolio, based on our priorities and the opportunities that arise in each market","Với danh mục đầu tư toàn diện nhất trong ngành, quản lý và phân bổ nguồn lực tiếp tục là một thách thức quan trọng. Mục tiêu của chúng tôi là phân bổ hợp lý các nguồn lực trong danh mục đầu tư của chúng tôi, dựa trên các ưu tiên của chúng tôi và các cơ hội phát sinh trong mỗi thị trường"

"Your request is over the limitation","Bạn đã hết số lượt mời bạn bè"
"You have successfully sent an invitation","Bạn đã gửi lời mời thành công"
"Get consulted successfully","Yêu cầu tư vấn thành công"

"Related Products","Sản phẩm liên quan"
"url-search","tim-kiem"
"This is a required field.","Bạn vui lòng nhập dữ liệu vào đây."
"Please enter the phone number","Bạn vui lòng nhập số điện thoại"
"Please enter <= 15 characters","Vui lòng nhập <= 15 ký tự"
"Please enter your email","Bạn vui lòng nhập email"
"Invalid email","Email không hợp lệ"
"Please enter full name","Vui lòng nhập họ tên"
"Please enter your email","Vui lòng nhập email"
"Please enter your address","Vui lòng nhập địa chỉ"
"Please enter your phone","Vui lòng số điện thoại"
"Please enter a valid email address (Ex: johndoe@domain.com).","Địa chỉ email không hợp lệ"
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Vui lòng nhập 6 ký tự trở lên."
"You must be of age 18 or above to access the site","Bạn phải từ 18 tuổi trở lên để truy cập trang web"
"Please enter a valid number in this field.","Bạn chỉ được nhập chữ số vào đây"
"Login","Đăng nhập"
"url-products", "san-pham"
"url-experiences", "trai-nghiem"
"Volumes","Thể tích"
"Alcohol level","Nồng độ"
"Description","Mô tả"
"Allow Gift wrapper","Đồng ý gói quà"
"Online Exclusive","Chỉ bán trực tuyến"
"Country","Xuất xứ"
"Allow Giftwrapper","Gói quà"
"Product Ingredients","Thành phần"
"Product History","Lịch sử sản phẩm"
"Alcohol Level","Nồng độ"
"DRINKING RESPONSIBLY","Uống có trách nhiệm"
"Posted by %1","Đăng bởi %1"
"Your cart has been updated","Giỏ hàng đã được cập nhật"
"View your cart","Xem giỏ hàng"
"Continue shopping","Tiếp tục mua hàng"
"You have %1 orders","Bạn có %1 đơn hàng"
"Apply & Submit","Xác nhận"
"your order","Đơn hàng của bạn"
"Quantity","Số lượng"
"Total amount","Tổng tiền"
"Find your taste","Tìm kiếm sản phẩm"
"Floor 26, Vietcombank Tower, 05 Cong Truong Me Linh, Ben Nghe Ward, Ho Chi Minh City","Lầu 26, Tòa nhà Vietcombank, số 5 Công Trường Mê Linh, phường Bến Nghé, Quận 1, Tp.Hồ Chí Minh"
"Pernod Ricard Vietnam Company Limited","Công ty TNHH Pernod Ricard Việt Nam"
"Your order number:","Số hoá đơn:"
"Thank you!","Cảm ơn!,"
"your order has been submitted","đơn hàng của bạn đã được gửi đi"
"Your current password" , "Mật khẩu hiện tại"
"Your new password","Mật khẩu mới"
"Your Name *","Họ Tên *"
"Your Email *","Email *"
"Your phone *","Số điện thoại *"
"Company Name","Tên công ty"
"Tax Code","Mã số thuế công ty"
"Please enter your company name","Vui lòng nhập tên công ty"
"Please enter your tax code" ,"Vui lòng nhập mã số thuế công ty"
"There're no products","Không có sản phẩm"
"Export tax invoice","Xuất hoá đơn thuế"
